ORIGIN_AIRPORT,flights,avg_arrival_delay,delayed_rate,destinations,criticality_score
SJT,1550,4.9,0.18258064516129033,1,0.08679386457164234
10423,3871,1.0550245414621544,0.11495737535520538,39,0.08507068439728373
HNL,42946,0.7964653285521353,0.10096400130396312,28,0.08411840061671712
MBS,1654,4.881499395405078,0.1674727932285369,4,0.08180571143534107
14843,1858,2.3266953713670615,0.1496232508073197,20,0.08160165062521965
SAF,1435,8.303135888501743,0.20069686411149826,3,0.08019589837771655
BRO,2258,2.3135518157661648,0.13064658990256864,2,0.07809860671813534
RDM,2119,1.459178857951864,0.13449740443605473,4,0.07427813488419549
14908,3524,0.18955732122587968,0.11350737797956867,20,0.0739040233989729
MOT,1820,2.8747252747252747,0.1467032967032967,2,0.07364327903048441
GJT,3122,1.2001921844971173,0.11434977578475336,5,0.06921062476618033
PSC,2394,0.5977443609022557,0.12406015037593984,5,0.06883651328095772
SPI,1517,8.0112063282795,0.17205009887936717,2,0.06817898400389982
LRD,2127,2.927127409496944,0.13023037141513868,2,0.0671133331065991
BQN,1331,4.375657400450788,0.19158527422990232,4,0.06693194571982451
ACT,1538,4.658647594278284,0.16905071521456436,1,0.06566223401240236
ILM,1838,3.9619151251360174,0.13928182807399347,3,0.06526544910383295
FAI,2169,0.7063162747810051,0.1267865375749193,4,0.06461925653844847
CLL,2200,2.804090909090909,0.12545454545454546,2,0.06455123626840799
FAY,1612,6.367866004962779,0.15818858560794044,1,0.06289607636408984
KOA,11052,-0.24375678610206297,0.0988056460369164,12,0.06150166082826016
MHK,1562,2.968629961587708,0.16069142125480154,2,0.05935902232198528
ACV,1268,7.841482649842272,0.22397476340694006,1,0.05917763493521069
LSE,1581,1.5528146742567994,0.15939278937381404,2,0.05872416646827421
HRL,3021,1.2277391592188016,0.10956636875206885,3,0.05822535115464409
LBE,1245,7.575903614457832,0.2321285140562249,7,0.05627543674681722
11042,3202,-1.7145534041224235,0.1080574640849469,31,0.055572560623065675
14831,3457,1.3361295921319063,0.10500433902227364,25,0.053497942386831275
13232,7598,-2.7250592261121347,0.09792050539615689,64,0.05196748631092066
EYW,1940,2.7943298969072163,0.12525773195876289,3,0.05142332415059688
13891,1734,2.720876585928489,0.13783160322952712,13,0.051066217732884396
DHN,1243,9.275945293644408,0.21399839098954143,1,0.050788468296885804
LCH,1802,0.9711431742508324,0.1320754716981132,2,0.050471040370030265
AVP,1326,6.506033182503771,0.17194570135746606,4,0.05006291874978744
12264,2979,-3.002014098690836,0.10775427995971802,33,0.04999489847974696
14027,1734,1.1695501730103806,0.13494809688581316,16,0.04900293620832341
COU,1241,11.746172441579372,0.21112006446414183,2,0.04693398632792572
FLG,1610,5.60807453416149,0.1453416149068323,1,0.04655987484270313
CWA,1361,4.263041880969875,0.16385011021307863,2,0.04619710006915395
13495,3646,-1.375479978058146,0.10312671420735052,36,0.0456869480438504
14524,1628,0.31633906633906633,0.1382063882063882,14,0.045346846693648045
14492,2984,-1.9550938337801609,0.10455764075067024,33,0.0444625831831219
13487,10552,-3.0905041698256253,0.09420015163002274,104,0.04387307417610448
10140,1805,0.7047091412742382,0.12465373961218837,21,0.04346495255586165
11193,1903,-1.415133998949028,0.1208617971623752,29,0.042852770125497396
15304,5125,-2.1594146341463416,0.09619512195121951,52,0.041719098958156196
PHF,1229,8.922701383238405,0.18795768917819367,2,0.03566529492455418
FCA,1996,-2.3517034068136273,0.10871743486973948,6,0.03493974537745581
10800,1753,0.9823160296634341,0.11922418710781517,11,0.0338854311918285
EGE,1198,12.401502504173623,0.2337228714524207,11,0.033329932319831314
BIL,2851,-2.3058575938267274,0.10066643283058575,5,0.03006495935788865
