ROUTE,flights,avg_arrival_delay,delayed_rate,avg_distance
MDW-PHL,1810,9.769613259668509,0.23701657458563535,668.0
TPA-JFK,2486,11.034593724859212,0.23692679002413516,1005.0
MCO-IAH,2588,11.484930448222565,0.23686244204018547,854.0
DEN-LGA,3197,5.765717860494213,0.23678448545511416,1620.0
DEN-OKC,1766,8.563986409966025,0.23669309173272934,495.0
BOS-SEA,1468,4.547683923705722,0.23637602179836512,2496.0
SJU-PHL,1016,6.1112204724409445,0.23622047244094488,1576.0
DAL-ELP,1271,8.963808025177025,0.23603461841070023,562.0
BWI-ALB,1661,9.646598434677905,0.23600240818783866,289.0
LIT-ORD,1937,9.808982963345379,0.23593185338151781,552.0
ORD-MEM,2124,8.331450094161958,0.23587570621468926,491.0
LAS-SAN,4055,10.093218249075216,0.23551171393341552,258.0
PHL-PBI,1087,5.6936522539098435,0.23551057957681693,951.0
DFW-SFO,4468,8.15398388540734,0.23545210384959714,1464.0
MDW-OMA,1653,8.698729582577133,0.235329703569268,423.0
ORD-MKE,4608,8.570746527777779,0.23524305555555555,67.0
SFO-ACV,1267,9.675611681136543,0.23520126282557222,250.0
LGA-BOS,6658,7.817512766596575,0.2350555722439171,184.0
SBN-ORD,1085,17.291244239631336,0.2350230414746544,84.0
DEN-TUL,1468,9.675068119891009,0.23501362397820164,541.0
BTR-ATL,2478,13.875302663438257,0.23486682808716708,448.0
OKC-IAH,1031,13.833171677982541,0.2347235693501455,395.0
EWR-MCO,4693,7.494353292137226,0.2346047304496058,937.0
BOS-LGA,6646,9.552362323201926,0.23457718928678906,184.0
SFO-BOI,1369,9.391526661796933,0.23447772096420746,522.0
JFK-BUF,2402,7.786427976686095,0.2343880099916736,301.0
BOS-RSW,1593,5.315756434400503,0.23414940364092907,1249.0
FLL-JFK,4315,9.925376593279259,0.23406720741599074,1069.0
ORD-SAN,2636,6.3660849772382395,0.2340667678300455,1723.0
LAX-PHX,7239,9.4235391628678,0.23401022240640973,370.0
ORD-BOS,6378,7.928033866415804,0.2339291313891502,867.0
IAD-IAH,1364,7.921554252199414,0.23387096774193547,1190.0
MIA-SJU,2429,9.519143680526966,0.23384108686702346,1045.0
DFW-HOU,1510,10.362913907284769,0.2337748344370861,247.0
ORD-IAD,1900,10.39421052631579,0.2336842105263158,588.8552631578947
OAK-DEN,1234,8.622366288492707,0.233387358184765,957.0
DFW-AMA,1123,9.565449688334818,0.23330365093499555,312.0
MDW-HOU,2027,5.735076467686236,0.23285643808584114,937.0
JFK-SEA,2070,4.557004830917874,0.23285024154589373,2422.0
ORD-RSW,1800,8.404444444444444,0.23277777777777778,1120.0
IAH-MIA,2844,9.99648382559775,0.23277074542897327,964.0
PSP-SFO,2118,10.925873465533522,0.232766761095373,421.0
EWR-TPA,2076,6.5761078998073215,0.23265895953757226,997.0
HOU-AUS,1290,11.04108527131783,0.23255813953488372,148.0
ORD-PHL,4617,8.024474767164826,0.23240199263591077,678.0
DLH-ORD,1059,14.0547686496695,0.23229461756373937,397.0
MIA-BWI,1081,9.230342275670676,0.23219241443108232,946.0
BWI-RDU,1913,10.864610559330893,0.23209618400418192,255.0
LGA-DCA,3960,5.547727272727273,0.23207070707070707,214.0
BUR-SFO,1545,10.029126213592233,0.23171521035598705,326.0
DEN-MKE,2012,8.052186878727634,0.23161033797216699,896.0
JFK-BOS,4892,9.126737530662306,0.23160261651676206,187.0
JFK-MIA,3524,6.188138479001135,0.23155505107832008,1089.0
HOU-SAT,1288,9.986801242236025,0.23136645962732919,192.0
MCO-PIT,1448,8.657458563535911,0.231353591160221,834.0
IAH-PHL,2141,7.675385333956095,0.23120037365716956,1325.0
MCO-PVD,1991,10.731793068809644,0.2310396785534907,1072.0
JFK-BTV,1000,7.916,0.231,266.0
BOS-SFO,3758,5.166311868014901,0.23097392229909527,2704.0
MSY-EWR,1057,8.562913907284768,0.23084200567644275,1167.0
BWI-PVD,2439,9.560475604756048,0.23083230832308324,327.0
CLT-PHL,3349,8.778441325768886,0.23081516870707675,449.0
ATL-LGA,7955,7.944940289126335,0.23079824010056568,762.0
BWI-CHS,1001,9.134865134865136,0.23076923076923078,472.0
DAL-AUS,3819,10.821681068342498,0.23068866195339094,189.0
DEN-STL,1825,8.873424657534246,0.23068493150684932,770.0
DTW-ORD,4110,10.71265206812652,0.23065693430656933,235.0
DCA-MIA,2917,8.504628042509427,0.23037367158039082,919.0
EWR-CLE,1554,7.383526383526384,0.23037323037323038,404.0
PHX-SFO,4827,7.365858711414957,0.23037083074373316,651.0
HPN-MCO,1208,8.062913907284768,0.23013245033112584,972.0
CLT-BOS,3516,8.529294653014789,0.2300910125142207,728.0
MCO-BOS,2797,10.513049696102968,0.2295316410439757,1121.0
PHL-FLL,1878,3.099574014909478,0.22949946751863684,992.0
ABQ-DAL,1560,10.073076923076924,0.22948717948717948,580.0
FAT-SFO,1164,8.6340206185567,0.22938144329896906,158.0
CLT-SFO,1814,5.051267916207276,0.22932745314222713,2296.0
ATL-JFK,1889,9.475913181577555,0.22922181048173637,760.0
DCA-LGA,3963,4.918748422911936,0.22911935402472874,214.0
ORD-DCA,5716,8.64223233030091,0.22900629811056683,612.0
MFR-SFO,1267,10.92817679558011,0.22888713496448304,329.0
EWR-FLL,3370,5.378041543026706,0.2287833827893175,1065.0
DFW-DEN,5949,9.099344427634897,0.228777945873256,641.0
HOU-CRP,1233,9.600162206001622,0.22871046228710462,187.0
ORD-SGF,1920,8.577083333333333,0.22864583333333333,438.0
