ORIGIN_AIRPORT,total_flights,avg_arrival_delay,delayed_rate,avg_distance,cancelled_rate,destinations_served,madrugada,morning_delay_rate,night_delay_rate,afternoon_delay_rate,cluster,pca_1,pca_2
FNT,42,-3.380952380952381,0.11904761904761904,568.3571428571429,0.0,6,0.125,0.125,1.0,0.08,3,-1.3255766167409992,0.15821060611510676
FSD,53,21.245283018867923,0.4528301886792453,524.1698113207547,0.0,5,0.0,0.391304347826087,0.3333333333333333,0.5909090909090909,5,1.4363067046978761,-0.3480990424710219
FSM,16,33.75,0.375,359.0,0.0,2,0.0,0.2222222222222222,1.0,0.25,1,1.0723394344773525,-0.13336488114629338
FWA,31,8.870967741935484,0.3870967741935484,313.64516129032256,0.0,4,0.0,0.46153846153846156,0.125,0.5,5,0.7780768763881397,-0.825552005173798
GCC,13,15.846153846153847,0.38461538461538464,319.38461538461536,0.0,3,0.3333333333333333,0.4,0.0,0.4,5,0.5924903661211666,-0.9665007454743311
GCK,5,20.6,0.6,404.0,0.0,1,0.0,0.5,0.0,0.6666666666666666,5,2.026790996891932,-0.9136296577349724
GEG,86,20.174418604651162,0.27906976744186046,659.9883720930233,0.0,9,0.0,0.22727272727272727,1.0,0.3548387096774194,1,0.518703789988339,0.4566059001826432
GFK,1,-1.0,0.0,284.0,0.0,1,0.0,0.0,0.0,0.0,0,-2.556415303280789,-1.1042564261666583
GGG,4,30.75,1.0,140.0,0.0,1,0.0,1.0,0.0,1.0,4,5.173474596347284,-1.1785127798952995
GJT,34,23.470588235294116,0.23529411764705882,449.29411764705884,0.0,5,0.0,0.23529411764705882,0.4,0.16666666666666666,3,-0.15491814443488974,-0.43672491589401774
GNV,19,0.5263157894736842,0.15789473684210525,298.7368421052632,0.0,2,0.0,0.2,0.3333333333333333,0.0,0,-1.4404461738928673,-0.7880126599480313
GPT,39,18.641025641025642,0.358974358974359,392.20512820512823,0.0,3,0.0,0.3181818181818182,0.8,0.25,1,0.6421018277041469,-0.22511373665370563
GRB,40,7.925,0.3,257.45,0.0,4,0.6666666666666666,0.3157894736842105,0.4,0.15384615384615385,0,-0.24724623116342923,-0.6701192224759739
GRI,5,42.0,0.8,561.0,0.0,1,0.0,1.0,0.0,0.5,4,3.941528883891823,-0.8119479036399542
GRK,36,36.02777777777778,0.6666666666666666,249.94444444444446,0.0,3,0.0,0.42857142857142855,1.0,0.7647058823529411,1,3.357349569757128,-0.13494603733916175
GRR,90,20.711111111111112,0.35555555555555557,525.3666666666667,0.0,11,0.3333333333333333,0.15789473684210525,0.6363636363636364,0.47368421052631576,1,0.6235457775685618,0.12950214895656073
GSO,62,1.8548387096774193,0.12903225806451613,495.0483870967742,0.0,8,0.0,0.08571428571428572,0.4444444444444444,0.07692307692307693,0,-1.5632547565605988,-0.24784546600167098
GSP,59,28.52542372881356,0.4067796610169492,489.5593220338983,0.0,11,0.0,0.36,0.875,0.36363636363636365,1,1.3823345037799177,0.19682305089830135
GTF,18,17.444444444444443,0.3333333333333333,552.4444444444445,0.0,2,0.0,0.25,0.0,0.4,5,0.1331155215260111,-0.7306692074238489
GTR,6,3.3333333333333335,0.16666666666666666,241.0,0.0,1,0.0,0.3333333333333333,0.0,0.0,0,-1.248208043042876,-1.1724574079622947
GUC,16,58.25,0.625,508.9375,0.0,4,0.0,0.5,0.0,0.7,4,3.253143461744127,-0.6618327097372456
GUM,4,29.75,0.5,3801.0,0.0,1,0.0,0.5,0.0,0.0,3,0.09386761958897467,2.4045867096209865
HDN,22,59.31818181818182,0.7727272727272727,957.1818181818181,0.0,10,0.0,0.8333333333333334,0.0,0.75,4,4.3912027867129355,-0.08076762086013076
HIB,6,-0.16666666666666666,0.0,174.0,0.0,1,0.0,0.0,0.0,0.0,0,-2.5089503007513843,-1.2042626161104906
HLN,12,2.25,0.16666666666666666,450.0,0.0,2,0.0,0.1111111111111111,0.0,0.3333333333333333,0,-1.1840255347828148,-0.860019279524068
HNL,432,17.368055555555557,0.3101851851851852,1325.6342592592594,0.0,27,0.0,0.08661417322834646,0.4174757281553398,0.43010752688172044,3,-0.17871890921239533,1.7666615641092205
HOB,1,23.0,1.0,501.0,0.0,1,0.0,1.0,0.0,0.0,4,3.0554303615367004,-0.9291093583333515
HOU,482,18.11410788381743,0.4107883817427386,711.338174273859,0.0,44,0.0,0.1902439024390244,0.6724137931034483,0.5094339622641509,3,0.7564520716626747,1.891547046481612
HPN,59,6.966101694915254,0.2542372881355932,941.0338983050848,0.0,7,0.0,0.15625,0.5555555555555556,0.2777777777777778,3,-0.5647836076737478,0.27698386919657453
HRL,27,20.333333333333332,0.37037037037037035,283.22222222222223,0.0,3,0.0,0.2727272727272727,0.5,0.5,1,0.9200774210877122,-0.5538363138055667
HSV,44,23.681818181818183,0.4318181818181818,421.90909090909093,0.0,5,1.0,0.3888888888888889,0.0,0.42857142857142855,5,0.9636092153274843,-0.7399853582461376
HYS,4,7.0,0.25,298.0,0.0,1,0.0,0.3333333333333333,0.0,0.0,0,-0.9123443067401532,-1.1068656064442917
IAD,466,14.772532188841202,0.3197424892703863,1112.9206008583692,0.0,62,0.3333333333333333,0.2727272727272727,0.3431372549019608,0.3471502590673575,6,-0.03381066423140962,2.442432416938714
IAG,4,-9.25,0.0,1176.0,0.0,1,0.0,0.0,0.0,0.0,0,-2.9888211865123027,-0.2202189973907467
IAH,1440,18.384027777777778,0.37430555555555556,856.1138888888889,0.0,110,0.25,0.28063943161634103,0.5853658536585366,0.3463687150837989,2,0.3285452146808401,5.329345340352565
ICT,61,23.508196721311474,0.36065573770491804,589.0983606557377,0.0,10,0.3333333333333333,0.2962962962962963,0.6363636363636364,0.3,1,0.6844135300741185,0.08081671037823544
IDA,26,11.538461538461538,0.2692307692307692,302.2307692307692,0.0,2,0.25,0.1,0.0,0.4166666666666667,5,-0.4562141947128795,-0.9527260934885406
ILG,2,75.5,1.0,870.0,0.0,2,0.0,1.0,0.0,1.0,4,6.351406798786798,-0.3770254335153067
ILM,18,22.11111111111111,0.3333333333333333,366.3333333333333,0.0,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,0.5714201775447926,-0.6706695054915722
IMT,6,-4.5,0.16666666666666666,162.0,0.0,2,0.0,0.3333333333333333,0.0,0.0,0,-1.4658571265738827,-1.233616115455548
IND,231,6.329004329004329,0.21212121212121213,719.0432900432901,0.0,24,0.0,0.1111111111111111,0.375,0.26666666666666666,3,-0.9151186625382745,0.6627286024068539
INL,6,20.5,0.16666666666666666,221.0,0.0,2,0.0,0.25,0.0,0.0,0,-0.9076464467731521,-1.13238873971765
ISN,25,14.8,0.24,654.48,0.0,3,0.0,0.15384615384615385,0.0,0.3333333333333333,5,-0.5565395063662777,-0.5930929536285343
ISP,43,6.651162790697675,0.23255813953488372,728.8372093023256,0.0,5,0.0,0.045454545454545456,0.5,0.4,3,-0.632194547684487,-0.03063485400139065
ITO,53,31.37735849056604,0.37735849056603776,329.8490566037736,0.0,3,0.0,0.18181818181818182,0.75,0.26666666666666666,1,0.8010824762937868,-0.2616745525969887
JAC,51,21.11764705882353,0.45098039215686275,849.2352941176471,0.0,13,0.0,0.5,0.0,0.42857142857142855,5,1.0747478804294168,-0.10970736682900442
JAN,68,33.10294117647059,0.4264705882352941,393.8382352941176,0.0,4,0.0,0.29411764705882354,0.5714285714285714,0.5555555555555556,1,1.62323560803086,-0.2691020287051025
JAX,180,8.972222222222221,0.24444444444444444,609.0166666666667,0.0,20,0.0,0.15730337078651685,0.43333333333333335,0.3148148148148148,3,-0.4932180229615759,0.4081822397475704
JFK,941,11.371944739638682,0.28374070138150903,1435.2008501594048,0.0,59,0.16666666666666666,0.1791767554479419,0.4636363636363636,0.30067567567567566,6,-0.5397456504290353,3.5973411500303896
JLN,5,57.8,1.0,327.0,0.0,1,0.0,1.0,0.0,1.0,4,5.939211017944141,-0.9594959030612897
JMS,5,52.0,0.6,181.0,0.0,2,0.0,0.0,1.0,0.5,1,2.2881759554379206,-0.22613179087838683
JNU,27,10.814814814814815,0.37037037037037035,418.18518518518516,0.0,6,0.0,0.38461538461538464,0.2,0.4444444444444444,5,0.550345527381686,-0.6087649060892153
KOA,106,10.31132075471698,0.2641509433962264,1101.698113207547,0.0,11,0.0,0.10714285714285714,0.24242424242424243,0.37777777777777777,3,-0.5944236182894642,0.4018991883967979
KTN,19,2.526315789473684,0.21052631578947367,436.6842105263158,0.0,4,0.0,0.14285714285714285,0.3333333333333333,0.2222222222222222,0,-0.9775157770625997,-0.5594356716049048
LAN,16,27.25,0.25,261.3125,0.0,4,0.0,0.42857142857142855,0.0,0.25,5,0.3450023187908369,-1.0117038465334676
LAR,7,31.428571428571427,0.2857142857142857,113.0,0.0,1,0.0,0.25,0.0,0.3333333333333333,5,0.38597462994742443,-1.2086725774862508
LAS,1180,11.548305084745763,0.29152542372881357,955.7567796610169,0.0,72,0.2127659574468085,0.15481171548117154,0.459915611814346,0.361244019138756,6,-0.38618375505278163,3.8829276753927995
LAW,8,91.5,0.75,140.0,0.0,1,0.0,0.75,0.0,0.75,4,5.292180965367897,-1.1087664325446063
LAX,1898,16.231822971549,0.33877766069546894,1262.6923076923076,0.0,78,0.25,0.2744599745870394,0.39035087719298245,0.3913764510779436,6,0.02680978569890368,5.519691873299842
LBB,33,47.45454545454545,0.6363636363636364,388.8181818181818,0.0,6,0.0,0.5294117647058824,0.75,0.75,1,3.605776941251663,-0.12523494770695776
LBE,10,-5.7,0.1,905.6,0.0,4,0.0,0.0,0.0,0.16666666666666666,0,-2.2419978542739067,-0.36992012391803625
LCH,12,16.333333333333332,0.4166666666666667,197.0,0.0,2,0.0,0.25,0.0,0.5,5,0.5946187511335349,-1.078587850511666
LEX,51,21.058823529411764,0.37254901960784315,462.1764705882353,0.0,5,0.0,0.2692307692307692,0.5,0.4666666666666667,1,0.8389012365477074,-0.28294432970064687
LFT,42,37.285714285714285,0.5714285714285714,359.95238095238096,0.0,4,0.0,0.5,0.5,0.6363636363636364,1,2.7018239549818177,-0.41068054521218716
